N_OBS_CELL,GRID_ID,CORAL,MACRO,CCA,ISLAND


1,69,69,2,15,HOW


1,69,56,0,15,HOW


1,70,45,8,35,HOW


1,70,69,2,25,HOW


1,70,35,8,45,HOW


1,70,45,8,35,HOW


1,70,56,8,8,HOW


1,70,88,0,15,HOW


1,70,45,2,15,HOW


1,70,88,0,15,HOW


1,70,69,0,8,HOW


1,70,56,0,25,HOW


1,71,25,8,56,HOW


1,71,35,8,35,HOW


1,71,25,2,35,HOW


1,71,56,8,25,HOW


1,71,69,0,15,HOW


1,71,56,8,25,HOW


1,71,69,0,15,HOW


1,72,69,2,25,HOW


1,72,45,15,25,HOW


1,72,88,0,15,HOW


1,72,69,2,8,HOW


1,72,88,0,15,HOW


1,72,56,0,15,HOW


1,72,45,8,15,HOW


1,72,45,2,25,HOW


1,73,56,0,25,HOW


1,73,56,8,15,HOW


1,74,69,0,25,HOW


1,74,69,0,15,HOW


1,74,45,2,15,HOW


1,74,56,0,25,HOW


1,74,35,8,25,HOW


1,75,45,2,25,HOW


1,75,35,2,56,HOW


1,75,56,0,25,HOW


1,75,56,0,15,HOW


1,76,69,0,15,HOW


1,76,45,2,15,HOW


1,77,45,2,35,HOW


1,77,69,2,8,HOW


1,77,35,2,56,HOW


1,77,35,0,25,HOW


1,77,35,2,45,HOW


1,78,45,2,15,HOW


1,78,45,8,25,HOW


1,78,69,0,35,HOW


1,78,56,2,8,HOW


1,79,88,0,15,HOW


1,79,69,0,15,HOW


1,79,35,2,25,HOW


1,80,88,2,8,HOW


1,80,69,0,35,HOW


1,80,69,0,25,HOW


1,80,69,0,15,HOW


1,80,69,2,8,HOW


1,80,56,8,25,HOW


1,81,45,8,25,HOW


1,81,88,0,15,HOW


1,81,45,2,15,HOW


1,81,69,8,15,HOW


1,1,2,69,15,JAR


1,1,8,56,15,JAR


1,1,15,25,25,JAR


0,2,0,0,0,JAR


1,3,8,45,35,JAR


1,3,15,45,15,JAR


1,4,15,69,8,JAR


1,4,15,56,15,JAR


1,4,15,45,15,JAR


1,4,15,8,25,JAR


1,5,2,56,35,JAR


1,5,15,69,8,JAR


1,5,8,35,15,JAR


1,6,8,56,25,JAR


1,6,8,2,35,JAR


1,7,8,69,8,JAR


1,7,15,69,15,JAR


1,7,8,45,25,JAR


1,7,8,35,8,JAR


0,8,0,0,0,JAR


1,9,8,56,15,JAR


1,9,15,35,35,JAR


1,10,8,69,15,JAR


1,10,15,25,8,JAR


1,10,15,2,25,JAR


1,11,2,35,56,JAR


1,11,8,35,15,JAR


1,11,15,35,25,JAR


1,12,2,45,25,JAR


1,12,8,69,15,JAR


1,12,25,2,25,JAR


1,13,8,69,15,JAR


1,13,15,35,25,JAR


1,13,8,15,8,JAR


1,14,2,45,25,JAR


1,14,15,69,25,JAR


1,15,0,45,25,JAR


1,15,15,56,25,JAR


1,15,15,15,35,JAR


1,15,8,15,8,JAR


1,15,25,2,25,JAR


1,16,0,45,35,JAR


1,16,8,56,25,JAR


1,16,15,8,45,JAR


1,17,8,56,15,JAR


1,18,0,35,45,JAR


1,18,15,45,25,JAR


1,18,8,2,35,JAR


1,18,8,15,8,JAR


1,18,15,2,25,JAR


1,19,2,35,45,JAR


1,19,15,69,15,JAR


1,19,8,15,45,JAR


1,19,15,2,56,JAR


1,20,2,69,25,JAR


1,20,15,35,35,JAR


1,20,15,8,8,JAR


1,20,25,2,15,JAR


1,21,25,25,45,JAR


1,21,8,2,35,JAR


1,21,35,2,45,JAR


1,21,15,2,35,JAR


1,22,2,45,56,JAR


1,22,2,69,25,JAR


1,22,8,2,56,JAR


1,22,25,2,15,JAR


1,23,2,45,45,JAR


1,23,8,8,15,JAR


1,24,2,45,45,JAR


1,24,2,69,35,JAR


1,24,15,35,15,JAR


1,24,15,2,25,JAR


1,24,25,2,45,JAR


1,25,8,35,56,JAR


1,26,8,35,56,JAR


1,26,0,69,35,JAR


1,26,2,2,35,JAR


1,26,15,2,25,JAR


1,26,15,8,35,JAR


1,27,15,25,45,JAR


1,27,15,35,35,JAR


1,28,8,45,45,JAR


1,28,8,25,56,JAR


1,28,0,69,35,JAR


1,28,15,2,15,JAR


1,28,25,8,25,JAR


1,29,25,35,35,JAR


1,29,15,35,45,JAR


1,29,35,8,15,JAR


1,30,15,35,45,JAR


1,30,15,56,35,JAR


1,30,25,35,35,JAR


1,30,15,2,15,JAR


1,30,35,8,25,JAR


1,31,15,56,35,JAR


1,32,15,15,45,JAR


1,33,15,35,56,JAR


1,33,15,45,25,JAR


1,33,35,15,25,JAR


1,34,69,2,15,JAR


1,34,15,69,25,JAR


1,34,15,45,25,JAR


1,34,2,8,8,JAR


1,34,15,8,45,JAR


1,34,8,8,35,JAR


1,35,2,25,2,JAR


1,35,15,2,45,JAR


1,35,25,25,15,JAR


1,36,2,15,69,JAR


1,36,56,15,25,JAR


1,36,8,8,45,JAR


1,37,15,15,56,JAR


1,37,35,15,35,JAR


1,37,25,25,35,JAR


1,37,25,45,35,JAR


1,37,15,35,25,JAR


1,37,25,35,25,JAR


1,37,8,8,0,JAR


1,37,15,15,15,JAR


1,37,15,25,25,JAR


1,38,25,8,69,JAR


1,38,15,8,35,JAR


1,38,15,35,2,JAR


1,38,8,8,45,JAR


1,39,15,15,69,JAR


1,40,15,25,56,JAR


1,40,35,45,15,JAR


1,41,8,35,56,JAR


1,41,15,45,25,JAR


1,41,8,35,2,JAR


1,41,8,8,0,JAR


1,41,25,8,15,JAR


1,42,8,15,69,JAR


1,42,25,2,8,JAR


1,43,15,56,15,JAR


1,44,2,35,56,JAR


1,44,15,56,15,JAR


1,44,8,35,2,JAR


1,44,25,8,15,JAR


1,45,8,25,69,JAR


1,45,25,56,15,JAR


1,45,15,8,8,JAR


1,46,25,56,8,JAR


1,46,15,35,35,JAR


1,46,15,15,8,JAR


1,47,25,56,8,JAR


1,47,8,45,2,JAR


1,47,15,15,0,JAR


1,48,35,45,15,JAR


1,48,15,2,8,JAR


1,49,35,45,15,JAR


1,49,15,56,25,JAR


1,49,8,45,2,JAR


1,49,25,15,8,JAR


1,50,25,45,8,JAR


1,51,15,15,56,JAR


1,51,25,56,25,JAR


1,51,35,15,0,JAR


1,51,25,8,8,JAR


1,51,35,25,8,JAR


1,52,25,35,8,JAR


1,53,25,56,25,JAR


1,53,15,35,15,JAR


1,54,35,25,35,JAR


1,54,15,45,15,JAR


1,54,25,15,0,JAR


1,54,25,8,8,JAR


1,54,35,8,8,JAR


1,55,25,45,25,JAR


1,55,35,25,8,JAR


1,56,45,15,25,JAR


1,57,15,15,15,JAR


1,57,45,0,8,JAR


1,57,35,2,8,JAR


1,58,69,15,15,JAR


1,58,25,45,25,JAR


1,58,45,15,15,JAR


1,59,15,8,25,JAR


1,59,35,0,15,JAR


1,59,45,2,8,JAR


1,60,45,35,2,JAR


1,60,35,35,35,JAR


1,60,45,15,15,JAR


1,60,35,15,25,JAR


1,60,35,25,0,JAR


1,61,45,15,25,JAR


1,61,35,45,2,JAR


1,61,25,2,8,JAR


1,62,88,8,8,JAR


1,62,45,35,25,JAR


1,62,35,15,15,JAR


1,62,8,15,8,JAR


1,62,45,15,2,JAR


1,62,45,0,15,JAR


1,63,69,8,15,JAR


1,64,56,15,25,JAR


1,64,88,2,15,JAR


1,64,35,15,25,JAR


1,64,56,25,15,JAR


1,64,45,2,15,JAR


1,64,25,8,8,JAR


1,64,35,2,8,JAR


1,65,56,25,15,JAR


1,65,8,45,0,JAR


1,65,45,0,15,JAR


1,66,35,15,35,JAR


1,66,88,2,15,JAR


1,66,45,15,35,JAR


1,67,88,2,15,JAR


1,67,56,15,15,JAR


1,67,56,2,15,JAR


1,68,45,15,25,JAR


1,68,45,25,35,JAR


1,68,56,15,15,JAR


1,68,45,0,15,JAR


1,69,69,8,15,JAR


1,69,69,15,15,JAR


1,69,35,8,15,JAR


1,70,35,35,45,JAR


1,70,69,15,15,JAR


1,70,45,25,25,JAR


1,71,35,25,45,JAR


1,72,45,0,45,JAR


1,72,88,2,15,JAR


1,72,69,15,15,JAR


1,72,45,15,25,JAR


1,73,35,25,45,JAR


1,73,56,15,15,JAR


1,73,45,0,15,JAR


1,74,45,15,35,JAR


1,74,56,15,15,JAR


1,75,45,0,25,JAR


1,75,25,2,69,JAR


1,75,56,8,25,JAR


1,75,56,8,8,JAR


1,75,25,0,25,JAR


1,76,56,0,35,JAR


1,76,56,0,25,JAR


1,76,56,8,25,JAR


1,76,56,0,15,JAR


1,77,88,0,15,JAR


1,77,15,15,69,JAR


1,77,35,2,15,JAR


1,77,25,25,25,JAR


1,77,15,2,8,JAR


1,77,56,8,15,JAR


1,77,45,0,8,JAR


1,78,88,0,15,JAR


1,78,45,2,25,JAR


1,78,8,8,8,JAR


1,79,88,0,15,JAR


1,79,25,2,15,JAR


1,79,25,15,15,JAR


1,79,15,2,8,JAR


1,80,88,0,15,JAR


1,80,56,2,25,JAR


1,80,69,2,8,JAR


1,80,69,2,15,JAR


1,81,56,2,35,JAR


1,81,69,15,15,JAR


1,81,56,8,15,JAR


1,82,69,0,25,JAR


1,82,69,0,8,JAR


1,82,69,8,15,JAR


1,82,69,2,15,JAR


1,83,88,0,15,JAR


1,83,56,2,35,JAR


1,83,69,15,15,JAR


1,84,15,15,69,JAR


1,84,56,0,35,JAR


1,84,69,0,8,JAR


1,84,69,0,15,JAR


1,85,35,15,35,JAR


1,85,69,15,15,JAR


1,85,56,2,15,JAR


1,86,69,0,15,JAR


1,87,35,15,35,JAR


1,87,69,0,15,JAR


1,87,69,15,15,JAR


1,87,69,0,2,JAR


1,87,56,8,8,JAR


1,88,45,15,35,JAR


1,89,35,15,35,JAR


1,89,56,0,35,JAR


1,89,56,15,15,JAR


1,89,69,2,2,JAR


1,90,56,0,35,JAR


1,90,69,0,15,JAR


1,91,35,15,35,JAR


1,91,56,15,15,JAR


1,91,69,2,2,JAR


1,91,69,0,8,JAR


1,92,35,15,35,JAR


1,92,45,0,45,JAR


1,93,45,35,25,JAR


1,93,69,2,8,JAR


1,93,45,8,2,JAR


1,93,45,2,15,JAR


1,94,35,15,35,JAR


1,94,35,45,25,JAR


1,94,56,8,0,JAR


1,94,35,35,2,JAR


1,95,35,45,15,JAR


1,95,15,45,35,JAR


1,95,25,25,25,JAR


1,95,35,2,15,JAR


1,96,8,69,2,JAR


1,96,35,35,0,JAR


1,96,15,8,0,JAR


1,97,2,69,2,JAR


1,97,8,45,25,JAR


1,97,15,69,15,JAR


1,97,15,2,15,JAR


1,98,2,88,2,JAR


1,98,8,56,0,JAR


1,98,15,25,35,JAR


1,99,8,56,15,JAR


1,99,15,2,15,JAR


1,100,2,69,25,JAR


1,100,15,25,35,JAR


1,100,15,2,15,JAR


1,101,2,69,15,JAR


1,101,2,88,8,JAR


1,101,2,69,0,JAR


1,102,8,56,25,JAR


1,102,2,69,15,JAR


1,102,8,25,25,JAR


1,102,15,8,15,JAR


1,103,8,56,25,JAR


1,103,2,69,0,JAR


1,104,2,69,15,JAR


1,104,25,15,25,JAR


1,104,15,8,15,JAR


1,105,8,56,25,JAR


1,105,8,69,25,JAR


1,105,15,8,15,JAR


1,106,2,69,15,JAR


1,106,15,35,8,JAR


1,107,8,35,56,JAR


1,107,8,69,15,JAR


1,107,8,56,25,JAR


1,107,8,25,25,JAR


1,107,15,8,15,JAR


1,108,15,25,45,JAR


1,108,15,45,8,JAR


1,1,15,35,0,KAU


1,1,8,45,2,KAU


1,2,8,35,0,KAU


1,3,8,45,2,KAU


1,4,15,35,0,KAU


1,4,2,2,0,KAU


1,5,0,0,0,KAU


1,5,0,8,0,KAU


1,5,8,35,2,KAU


0,6,0,0,0,KAU


1,7,0,0,0,KAU


1,8,0,0,0,KAU


0,9,0,0,0,KAU


0,10,0,0,0,KAU


0,11,0,0,0,KAU


0,12,0,0,0,KAU


0,13,0,0,0,KAU


0,14,0,0,0,KAU


0,15,0,0,0,KAU


0,16,0,0,0,KAU


0,17,0,0,0,KAU


0,18,0,0,0,KAU


0,19,0,0,0,KAU


0,20,0,0,0,KAU


0,21,0,0,0,KAU


0,22,0,0,0,KAU


0,23,0,0,0,KAU


0,24,0,0,0,KAU


0,25,0,0,0,KAU


0,26,0,0,0,KAU


0,27,0,0,0,KAU


0,28,0,0,0,KAU


0,29,0,0,0,KAU


0,30,0,0,0,KAU


0,31,0,0,0,KAU


0,32,0,0,0,KAU


0,33,0,0,0,KAU


0,34,0,0,0,KAU


0,35,0,0,0,KAU


0,36,0,0,0,KAU


0,37,0,0,0,KAU


1,38,25,35,0,KAU


0,39,0,0,0,KAU


1,40,15,25,2,KAU


1,41,25,56,0,KAU


1,42,25,35,2,KAU


1,43,25,56,0,KAU


1,44,25,35,2,KAU


1,45,25,56,0,KAU


0,46,0,0,0,KAU


1,47,35,56,0,KAU


1,47,25,45,2,KAU


0,48,0,0,0,KAU


1,49,25,35,2,KAU


1,50,35,45,0,KAU


1,51,35,35,2,KAU


1,52,35,45,0,KAU


1,53,25,45,0,KAU


1,54,25,45,0,KAU


1,54,35,25,0,KAU


0,55,0,0,0,KAU


1,56,35,56,0,KAU


1,56,25,15,8,KAU


0,57,0,0,0,KAU


0,58,0,0,0,KAU


1,59,25,56,0,KAU


0,60,0,0,0,KAU


1,61,15,45,0,KAU


0,62,0,0,0,KAU


0,63,0,0,0,KAU


0,64,0,0,0,KAU


0,65,0,0,0,KAU


0,66,0,0,0,KAU


0,67,0,0,0,KAU


0,68,0,0,0,KAU


0,69,0,0,0,KAU


1,70,2,2,2,KAU


0,71,0,0,0,KAU


1,72,15,35,2,KAU


1,73,15,35,0,KAU


1,74,8,8,0,KAU


1,75,15,56,0,KAU


1,75,25,25,2,KAU


1,76,15,35,2,KAU


1,77,35,45,2,KAU


1,78,35,15,2,KAU


1,78,25,15,8,KAU


1,79,35,8,15,KAU


1,80,15,8,15,KAU


1,80,25,0,15,KAU


1,81,15,2,15,KAU


1,82,2,2,2,KAU


1,83,15,8,15,KAU


1,83,25,2,15,KAU


1,84,25,8,15,KAU


1,85,25,8,15,KAU


1,85,35,2,15,KAU


1,85,15,0,15,KAU


1,86,15,25,0,KAU


1,86,35,2,35,KAU


1,86,15,0,15,KAU


1,87,35,35,8,KAU


1,88,35,25,0,KAU


1,88,15,8,2,KAU


1,89,35,35,8,KAU


1,90,8,35,0,KAU


1,90,25,15,2,KAU


0,91,0,0,0,KAU


0,92,0,0,0,KAU


0,93,0,0,0,KAU


0,94,0,0,0,KAU


0,95,0,0,0,KAU


0,96,0,0,0,KAU


0,97,0,0,0,KAU


0,98,0,0,0,KAU


0,99,0,0,0,KAU


0,100,0,0,0,KAU


0,101,0,0,0,KAU


0,102,0,0,0,KAU


0,103,0,0,0,KAU


0,104,0,0,0,KAU


0,105,0,0,0,KAU


0,106,0,0,0,KAU


0,107,0,0,0,KAU


0,108,0,0,0,KAU


0,109,0,0,0,KAU


0,110,0,0,0,KAU


0,111,0,0,0,KAU


0,112,0,0,0,KAU


0,113,0,0,0,KAU


0,114,0,0,0,KAU


0,115,0,0,0,KAU


0,116,0,0,0,KAU


0,117,0,0,0,KAU


0,118,0,0,0,KAU


0,119,0,0,0,KAU


1,120,2,15,0,KAU


1,120,0,0,0,KAU


1,120,0,0,0,KAU


0,121,0,0,0,KAU


1,122,8,69,0,KAU


1,122,8,25,0,KAU


1,122,15,25,2,KAU


0,123,0,0,0,KAU


1,124,15,69,0,KAU


1,125,2,25,0,KAU


1,126,25,56,0,KAU


1,127,8,15,0,KAU


1,128,15,56,0,KAU


1,129,2,8,0,KAU


1,130,0,2,0,KAU


1,131,0,0,0,KAU


1,132,2,15,0,KAU


1,133,15,56,0,KAU


1,134,8,15,0,KAU


0,135,0,0,0,KAU


1,136,8,15,2,KAU


0,137,0,0,0,KAU


1,138,2,15,2,KAU


0,139,0,0,0,KAU


0,140,0,0,0,KAU


1,141,0,2,0,KAU


1,142,2,15,0,KAU


1,143,0,56,0,KAU


1,143,2,2,0,KAU


1,144,0,0,0,KAU


1,145,15,25,0,KAU


1,145,2,15,0,KAU


1,145,8,2,8,KAU


1,146,2,8,0,KAU


1,146,15,2,8,KAU


1,146,8,0,8,KAU


1,147,8,8,2,KAU


1,148,25,56,0,KAU


1,148,8,2,8,KAU


1,148,2,2,8,KAU


0,149,0,0,0,KAU


1,150,15,2,8,KAU


1,150,2,8,2,KAU


1,151,15,35,0,KAU


1,152,2,15,0,KAU


1,153,8,56,0,KAU


1,153,2,15,2,KAU


0,154,0,0,0,KAU


1,155,2,8,2,KAU


0,156,0,0,0,KAU


1,157,2,2,2,KAU


1,158,0,0,0,KAU


1,159,2,2,0,KAU


0,160,0,0,0,KAU


0,161,0,0,0,KAU


0,162,0,0,0,KAU


0,163,0,0,0,KAU


0,164,0,0,0,KAU


0,165,0,0,0,KAU


1,166,15,56,15,KAU


0,167,0,0,0,KAU


1,168,25,56,25,KAU


0,169,0,0,0,KAU


1,170,25,56,15,KAU


0,171,0,0,0,KAU


1,172,25,45,8,KAU


0,173,0,0,0,KAU


1,174,25,35,15,KAU


0,175,0,0,0,KAU


1,176,15,45,8,KAU


1,177,2,2,0,KAU


0,178,0,0,0,KAU


1,179,0,0,0,KAU


0,180,0,0,0,KAU


1,181,8,35,25,KAU


0,182,0,0,0,KAU


0,183,0,0,0,KAU


0,184,0,0,0,KAU


0,185,0,0,0,KAU


0,186,0,0,0,KAU


0,187,0,0,0,KAU


0,188,0,0,0,KAU


0,189,0,0,0,KAU


0,190,0,0,0,KAU


0,191,0,0,0,KAU


0,192,0,0,0,KAU


0,193,0,0,0,KAU


0,194,0,0,0,KAU


0,195,0,0,0,KAU


1,196,0,0,0,KAU


0,197,0,0,0,KAU


1,198,0,2,0,KAU


1,198,15,35,2,KAU


0,199,0,0,0,KAU


1,200,8,25,0,KAU


1,200,8,56,2,KAU


1,201,8,45,2,KAU


0,202,0,0,0,KAU


1,203,2,25,0,KAU


1,203,8,56,2,KAU


1,204,15,56,8,KAU


1,205,8,25,0,KAU


0,206,0,0,0,KAU


1,207,8,45,2,KAU


1,208,8,35,0,KAU


1,209,15,45,2,KAU


1,210,8,15,0,KAU


1,211,15,15,25,KAU


1,212,2,8,0,KAU


0,213,0,0,0,KAU


1,214,2,25,0,KAU


1,214,15,35,15,KAU


0,215,0,0,0,KAU


0,216,0,0,0,KAU


1,217,8,25,0,KAU


0,218,0,0,0,KAU


0,219,0,0,0,KAU


1,220,2,35,0,KAU


0,221,0,0,0,KAU


0,222,0,0,0,KAU


0,223,0,0,0,KAU


0,224,0,0,0,KAU


0,225,0,0,0,KAU


0,226,0,0,0,KAU


0,227,0,0,0,KAU


0,228,0,0,0,KAU


0,229,0,0,0,KAU


0,230,0,0,0,KAU


0,231,0,0,0,KAU


1,232,15,56,0,KAU


0,233,0,0,0,KAU


0,234,0,0,0,KAU


1,235,15,35,0,KAU


0,236,0,0,0,KAU


0,237,0,0,0,KAU


1,238,8,88,0,KAU


0,239,0,0,0,KAU


1,240,15,56,0,KAU


0,241,0,0,0,KAU


0,242,0,0,0,KAU


1,243,25,45,0,KAU


0,244,0,0,0,KAU


1,245,0,0,2,KAU


0,246,0,0,0,KAU


0,247,0,0,0,KAU


1,248,15,35,0,KAU


0,249,0,0,0,KAU


1,250,8,56,0,KAU


0,251,0,0,0,KAU


0,252,0,0,0,KAU


1,253,2,8,0,KAU


1,253,0,8,0,KAU


0,254,0,0,0,KAU


1,255,0,0,0,KAU


1,256,0,2,0,KAU


0,257,0,0,0,KAU


0,258,0,0,0,KAU


1,259,8,25,2,KAU


1,260,15,56,0,KAU


1,260,2,25,0,KAU


1,261,8,35,2,KAU


0,262,0,0,0,KAU


1,263,15,25,8,KAU


1,264,15,69,2,KAU


1,264,2,35,2,KAU


1,265,8,35,2,KAU


1,266,15,56,0,KAU


1,267,8,35,2,KAU


1,267,2,25,2,KAU


0,268,0,0,0,KAU


1,269,8,35,0,KAU


1,269,2,25,8,KAU


1,270,2,15,0,KAU


1,271,2,8,0,KAU


1,272,15,56,0,KAU


1,273,2,15,8,KAU


1,274,15,56,0,KAU


1,274,2,15,0,KAU


1,275,2,15,8,KAU


0,276,0,0,0,KAU


1,277,15,56,0,KAU


1,277,2,25,2,KAU


1,278,2,25,0,KAU


0,279,0,0,0,KAU


1,280,8,69,2,KAU


0,281,0,0,0,KAU


1,282,2,25,0,KAU


1,283,2,69,0,KAU


0,284,0,0,0,KAU


1,285,0,2,0,KAU


1,286,2,69,0,KAU


0,287,0,0,0,KAU


0,288,0,0,0,KAU


0,289,0,0,0,KAU


0,290,0,0,0,KAU


0,291,0,0,0,KAU


0,292,0,0,0,KAU


1,293,2,56,0,KAU


0,294,0,0,0,KAU


0,295,0,0,0,KAU


1,296,8,56,15,KAU


1,296,2,35,2,KAU


0,297,0,0,0,KAU


1,298,15,45,15,KAU


1,298,2,25,2,KAU


0,299,0,0,0,KAU


1,300,0,15,0,KAU


1,301,8,35,8,KAU


1,302,2,56,2,KAU


1,303,8,69,56,KAU


0,304,0,0,0,KAU


1,305,8,56,15,KAU


1,305,2,69,2,KAU


0,306,0,0,0,KAU


1,307,8,45,8,KAU


1,308,0,8,0,KAU


1,309,0,0,0,KAU


1,310,0,0,0,KAU


1,311,0,0,0,KAU


1,312,0,0,0,KAU


1,313,2,45,8,KAU


1,313,0,69,2,KAU


0,314,0,0,0,KAU


1,315,0,45,0,KAU


0,316,0,0,0,KAU


0,317,0,0,0,KAU


0,318,0,0,0,KAU


0,319,0,0,0,KAU


0,320,0,0,0,KAU


0,321,0,0,0,KAU


0,322,0,0,0,KAU


1,323,0,25,0,KAU


0,324,0,0,0,KAU


0,325,0,0,0,KAU


1,326,0,25,0,KAU


0,327,0,0,0,KAU


0,328,0,0,0,KAU


1,329,2,15,2,KAU


0,330,0,0,0,KAU


0,331,0,0,0,KAU


0,332,0,0,0,KAU


1,333,8,0,8,KAU


0,334,0,0,0,KAU


0,335,0,0,0,KAU


1,336,2,25,0,KAU


0,337,0,0,0,KAU


0,338,0,0,0,KAU


0,339,0,0,0,KAU


1,340,2,15,0,KAU


0,341,0,0,0,KAU


0,342,0,0,0,KAU


1,343,2,25,0,KAU


0,344,0,0,0,KAU


0,345,0,0,0,KAU


1,346,0,15,0,KAU


0,347,0,0,0,KAU


0,348,0,0,0,KAU


1,349,2,15,0,KAU


0,350,0,0,0,KAU


0,351,0,0,0,KAU


0,352,0,0,0,KAU


1,353,0,15,0,KAU


0,354,0,0,0,KAU


0,355,0,0,0,KAU


0,356,0,0,0,KAU


0,357,0,0,0,KAU


0,358,0,0,0,KAU


1,359,2,88,0,KAU


0,360,0,0,0,KAU


0,361,0,0,0,KAU


1,362,2,88,0,KAU


0,363,0,0,0,KAU


0,364,0,0,0,KAU


1,365,2,88,0,KAU


0,366,0,0,0,KAU


0,367,0,0,0,KAU


1,368,2,88,0,KAU


0,369,0,0,0,KAU


0,370,0,0,0,KAU


1,371,0,88,0,KAU


0,372,0,0,0,KAU


0,373,0,0,0,KAU


1,374,2,88,0,KAU


1,375,0,15,2,KAU


1,376,2,88,0,KAU


1,377,2,25,2,KAU


0,378,0,0,0,KAU


1,379,2,69,0,KAU


1,380,8,15,2,KAU


1,381,8,56,0,KAU


1,382,8,2,0,KAU


1,383,0,0,0,KAU


1,384,0,0,0,KAU


0,385,0,0,0,KAU


1,386,0,0,0,KAU


0,387,0,0,0,KAU


1,388,2,25,0,KAU


0,389,0,0,0,KAU


1,390,2,35,0,KAU


0,391,0,0,0,KAU


0,392,0,0,0,KAU


1,393,2,45,0,KAU


0,394,0,0,0,KAU


1,395,2,25,0,KAU


0,396,0,0,0,KAU


0,397,0,0,0,KAU


0,398,0,0,0,KAU


0,399,0,0,0,KAU


0,400,0,0,0,KAU


0,401,0,0,0,KAU


0,402,0,0,0,KAU


0,403,0,0,0,KAU


0,404,0,0,0,KAU


0,405,0,0,0,KAU


0,406,0,0,0,KAU


0,407,0,0,0,KAU


0,408,0,0,0,KAU


0,409,0,0,0,KAU


0,410,0,0,0,KAU


0,411,0,0,0,KAU


0,412,0,0,0,KAU


0,413,0,0,0,KAU


1,414,15,8,15,KAU


0,415,0,0,0,KAU


0,416,0,0,0,KAU


1,417,2,35,8,KAU


0,418,0,0,0,KAU


1,419,8,45,8,KAU


0,420,0,0,0,KAU


